Updated,ConfirmedChange,DeathsChange
06/12/2020,36.0,4.0
06/13/2020,31.0,2.0
06/14/2020,42.0,3.0
06/15/2020,35.0,1.0
06/16/2020,47.0,5.0
06/17/2020,55.0,5.0
06/18/2020,17.0,8.0
06/19/2020,138.0,7.0
06/20/2020,94.0,3.0
06/21/2020,196.0,3.0
06/22/2020,126.0,3.0
06/23/2020,107.0,6.0
06/24/2020,173.0,5.0
06/25/2020,113.0,0.0
04/15/2020,113.0,0.0
04/18/2020,0.0,0.0
04/20/2020,0.0,0.0
04/23/2020,0.0,0.0
04/15/2020,0.0,0.0
04/18/2020,0.0,0.0
04/20/2020,0.0,0.0
04/23/2020,0.0,0.0
05/26/2020,131.0,0.0
05/27/2020,4.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
05/30/2020,1.0,0.0
05/31/2020,13.0,0.0
06/01/2020,25.0,0.0
06/02/2020,26.0,0.0
06/03/2020,6.0,0.0
06/04/2020,6.0,0.0
06/05/2020,36.0,0.0
06/06/2020,5.0,0.0
06/07/2020,38.0,0.0
06/08/2020,0.0,0.0
06/09/2020,0.0,0.0
06/10/2020,1.0,0.0
06/11/2020,0.0,0.0
06/12/2020,1.0,0.0
06/13/2020,0.0,0.0
06/14/2020,1.0,0.0
06/15/2020,1.0,0.0
06/16/2020,2.0,0.0
06/17/2020,0.0,0.0
06/18/2020,0.0,0.0
06/19/2020,1.0,0.0
06/20/2020,1.0,0.0
06/21/2020,0.0,0.0
06/22/2020,1.0,0.0
06/23/2020,1.0,0.0
06/24/2020,1.0,0.0
06/25/2020,4.0,0.0
04/15/2020,4.0,0.0
04/17/2020,0.0,0.0
04/19/2020,0.0,0.0
04/21/2020,0.0,0.0
04/23/2020,0.0,0.0
05/26/2020,9.0,0.0
05/27/2020,2.0,0.0
05/28/2020,0.0,0.0
05/29/2020,1.0,0.0
05/30/2020,1.0,0.0
05/31/2020,0.0,0.0
06/01/2020,0.0,0.0
06/02/2020,3.0,0.0
06/03/2020,1.0,0.0
06/04/2020,0.0,0.0
06/05/2020,12.0,0.0
06/06/2020,0.0,0.0
06/07/2020,5.0,0.0
06/08/2020,0.0,0.0
06/09/2020,0.0,0.0
06/10/2020,0.0,0.0
06/11/2020,1.0,0.0
06/12/2020,0.0,0.0
06/13/2020,0.0,0.0
06/14/2020,1.0,0.0
06/15/2020,0.0,0.0
06/16/2020,0.0,0.0
06/17/2020,1.0,0.0
06/18/2020,0.0,0.0
06/19/2020,4.0,0.0
06/20/2020,4.0,0.0
06/21/2020,0.0,0.0
06/22/2020,4.0,0.0
06/23/2020,3.0,0.0
06/24/2020,4.0,0.0
06/25/2020,12.0,3.0
04/15/2020,12.0,3.0
04/18/2020,0.0,3.0
04/20/2020,0.0,3.0
04/23/2020,0.0,3.0
05/26/2020,86.0,3.0
05/27/2020,13.0,1.0
05/28/2020,12.0,0.0
05/29/2020,5.0,0.0
05/30/2020,5.0,1.0
05/31/2020,33.0,1.0
06/01/2020,2.0,0.0
06/02/2020,10.0,0.0
06/03/2020,12.0,0.0
06/04/2020,13.0,0.0
06/05/2020,13.0,0.0
06/06/2020,1.0,1.0
06/07/2020,7.0,0.0
06/08/2020,48.0,0.0
06/09/2020,9.0,0.0
06/10/2020,5.0,0.0
06/11/2020,14.0,0.0
06/12/2020,10.0,0.0
06/13/2020,42.0,0.0
06/14/2020,20.0,0.0
06/15/2020,11.0,0.0
06/16/2020,2.0,1.0
06/17/2020,12.0,1.0
06/18/2020,6.0,1.0
06/19/2020,10.0,2.0
06/20/2020,73.0,2.0
06/21/2020,13.0,2.0
06/22/2020,5.0,0.0
06/23/2020,22.0,0.0
06/24/2020,5.0,0.0
06/25/2020,8.0,0.0
05/26/2020,8.0,0.0
05/27/2020,4.0,0.0
05/28/2020,2.0,0.0
05/29/2020,3.0,1.0
05/30/2020,1.0,0.0
05/31/2020,2.0,0.0
06/01/2020,2.0,0.0
06/02/2020,2.0,0.0
06/03/2020,1.0,0.0
06/04/2020,1.0,0.0
06/05/2020,3.0,0.0
06/06/2020,2.0,0.0
06/07/2020,0.0,0.0
06/08/2020,1.0,0.0
06/09/2020,1.0,0.0
06/10/2020,0.0,0.0
06/11/2020,0.0,0.0
06/12/2020,0.0,0.0
06/13/2020,0.0,0.0
06/14/2020,0.0,0.0
06/15/2020,1.0,-1.0
06/16/2020,-1.0,0.0
06/17/2020,3.0,0.0
06/18/2020,0.0,0.0
06/19/2020,3.0,0.0
06/20/2020,5.0,0.0
06/21/2020,3.0,0.0
06/22/2020,1.0,0.0
06/23/2020,5.0,0.0
06/24/2020,8.0,0.0
06/25/2020,2.0,0.0
05/26/2020,2.0,0.0
05/27/2020,3.0,0.0
05/28/2020,3.0,0.0
05/29/2020,2.0,0.0
05/30/2020,0.0,0.0
05/31/2020,0.0,0.0
06/01/2020,0.0,0.0
06/02/2020,0.0,0.0
06/03/2020,0.0,0.0
06/04/2020,0.0,0.0
06/05/2020,0.0,0.0
06/06/2020,0.0,0.0
06/07/2020,0.0,0.0
06/08/2020,0.0,0.0
06/09/2020,0.0,0.0
06/10/2020,0.0,0.0
06/11/2020,1.0,0.0
06/12/2020,0.0,0.0
06/13/2020,0.0,0.0
06/14/2020,0.0,0.0
06/15/2020,0.0,0.0
06/16/2020,4.0,0.0
06/17/2020,0.0,0.0
06/18/2020,3.0,0.0
06/19/2020,2.0,0.0
06/20/2020,8.0,1.0
06/21/2020,1.0,0.0
06/22/2020,5.0,0.0
06/23/2020,0.0,0.0
06/24/2020,1.0,0.0
06/25/2020,1.0,0.0
05/26/2020,1.0,0.0
05/27/2020,0.0,0.0
05/28/2020,6.0,0.0
05/29/2020,1.0,0.0
05/30/2020,1.0,0.0
05/31/2020,0.0,0.0
06/01/2020,0.0,0.0
06/02/2020,0.0,0.0
06/03/2020,0.0,0.0
06/04/2020,1.0,0.0
06/05/2020,0.0,0.0
06/06/2020,0.0,0.0
06/07/2020,0.0,0.0
06/08/2020,0.0,0.0
06/09/2020,0.0,0.0
06/10/2020,0.0,0.0
06/11/2020,0.0,0.0
06/12/2020,3.0,0.0
06/13/2020,0.0,0.0
06/14/2020,0.0,0.0
06/15/2020,0.0,0.0
06/16/2020,0.0,0.0
06/17/2020,0.0,0.0
06/18/2020,0.0,0.0
06/19/2020,0.0,0.0
06/20/2020,0.0,0.0
06/21/2020,0.0,0.0
06/22/2020,2.0,0.0
06/23/2020,0.0,0.0
06/24/2020,2.0,0.0
06/25/2020,0.0,0.0
04/15/2020,0.0,0.0
04/17/2020,0.0,0.0
04/19/2020,0.0,0.0
04/21/2020,0.0,0.0
04/23/2020,0.0,0.0
05/26/2020,55.0,0.0
05/27/2020,11.0,0.0
05/28/2020,24.0,0.0
05/29/2020,7.0,0.0
05/30/2020,7.0,0.0
05/31/2020,14.0,0.0
06/01/2020,4.0,0.0
06/02/2020,1.0,0.0
06/03/2020,1.0,0.0
06/04/2020,3.0,0.0
06/05/2020,4.0,0.0
06/06/2020,24.0,0.0
06/07/2020,17.0,0.0
06/08/2020,3.0,0.0
06/09/2020,23.0,0.0
06/10/2020,4.0,0.0
06/11/2020,2.0,0.0
06/12/2020,17.0,0.0
06/13/2020,30.0,0.0
06/14/2020,5.0,1.0
06/15/2020,23.0,0.0
06/16/2020,79.0,0.0
06/17/2020,8.0,0.0
06/18/2020,23.0,0.0
06/19/2020,13.0,0.0
06/20/2020,4.0,0.0
06/21/2020,7.0,0.0
06/22/2020,12.0,0.0
06/23/2020,8.0,0.0
06/24/2020,12.0,0.0
06/25/2020,29.0,1.0
05/26/2020,29.0,1.0
05/27/2020,6.0,0.0
05/28/2020,2.0,0.0
05/29/2020,2.0,0.0
05/30/2020,4.0,0.0
05/31/2020,6.0,0.0
06/01/2020,3.0,0.0
06/02/2020,4.0,0.0
06/03/2020,3.0,1.0
06/04/2020,15.0,1.0
06/05/2020,1.0,0.0
06/06/2020,6.0,0.0
06/07/2020,17.0,0.0
06/08/2020,4.0,0.0
06/09/2020,4.0,0.0
06/10/2020,3.0,0.0
06/11/2020,9.0,0.0
06/12/2020,1.0,0.0
06/13/2020,2.0,0.0
06/14/2020,0.0,0.0
06/15/2020,1.0,0.0
06/16/2020,1.0,0.0
06/17/2020,2.0,0.0
06/18/2020,3.0,0.0
06/19/2020,12.0,0.0
06/20/2020,3.0,1.0
06/21/2020,8.0,0.0
06/22/2020,9.0,0.0
06/23/2020,2.0,0.0
06/24/2020,8.0,0.0
06/25/2020,7.0,0.0
04/15/2020,7.0,0.0
04/18/2020,0.0,0.0
04/20/2020,0.0,0.0
04/23/2020,0.0,0.0
05/26/2020,41.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,1.0,0.0
05/30/2020,2.0,0.0
05/31/2020,0.0,0.0
06/01/2020,2.0,0.0
06/02/2020,2.0,0.0
06/03/2020,1.0,0.0
06/04/2020,1.0,0.0
06/05/2020,2.0,0.0
06/06/2020,3.0,0.0
06/07/2020,3.0,0.0
06/08/2020,4.0,0.0
06/09/2020,2.0,0.0
06/10/2020,4.0,1.0
06/11/2020,2.0,0.0
06/12/2020,19.0,0.0
06/13/2020,20.0,1.0
06/14/2020,10.0,0.0
06/15/2020,34.0,1.0
06/16/2020,8.0,0.0
06/17/2020,8.0,0.0
06/18/2020,4.0,0.0
06/19/2020,3.0,0.0
06/20/2020,5.0,0.0
06/21/2020,15.0,0.0
06/22/2020,4.0,0.0
06/23/2020,4.0,0.0
06/24/2020,12.0,0.0
06/25/2020,26.0,0.0
05/26/2020,26.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
05/30/2020,0.0,0.0
05/31/2020,0.0,0.0
06/01/2020,0.0,0.0
06/02/2020,0.0,0.0
06/03/2020,0.0,0.0
06/04/2020,2.0,1.0
06/05/2020,0.0,0.0
06/06/2020,4.0,0.0
06/07/2020,2.0,0.0
06/08/2020,6.0,0.0
06/09/2020,0.0,0.0
06/10/2020,0.0,0.0
06/11/2020,0.0,0.0
06/12/2020,0.0,0.0
06/13/2020,0.0,0.0
06/14/2020,0.0,0.0
06/15/2020,0.0,0.0
06/16/2020,4.0,0.0
06/17/2020,2.0,0.0
06/18/2020,3.0,0.0
06/19/2020,1.0,0.0
06/20/2020,1.0,0.0
06/21/2020,18.0,0.0
06/22/2020,1.0,0.0
06/23/2020,9.0,0.0
06/24/2020,6.0,0.0
06/25/2020,10.0,0.0
05/26/2020,10.0,0.0
05/27/2020,15.0,0.0
05/28/2020,13.0,0.0
05/29/2020,4.0,0.0
05/30/2020,13.0,0.0
05/31/2020,8.0,0.0
06/01/2020,8.0,0.0
06/02/2020,9.0,0.0
06/03/2020,1.0,0.0
06/04/2020,13.0,0.0
06/05/2020,3.0,0.0
06/06/2020,3.0,0.0
06/07/2020,5.0,0.0
06/08/2020,3.0,0.0
06/09/2020,1.0,0.0
06/10/2020,2.0,0.0
06/11/2020,2.0,0.0
06/12/2020,9.0,1.0
06/13/2020,11.0,0.0
06/14/2020,1.0,0.0
06/15/2020,1.0,0.0
06/16/2020,5.0,0.0
06/17/2020,5.0,0.0
06/18/2020,4.0,0.0
06/19/2020,18.0,0.0
06/20/2020,16.0,0.0
06/21/2020,5.0,0.0
06/22/2020,3.0,0.0
06/23/2020,4.0,0.0
06/24/2020,1.0,0.0
06/25/2020,12.0,0.0
05/26/2020,12.0,0.0
05/27/2020,0.0,0.0
05/28/2020,4.0,0.0
05/29/2020,0.0,0.0
05/30/2020,4.0,0.0
05/31/2020,0.0,0.0
06/01/2020,1.0,0.0
06/02/2020,1.0,0.0
06/03/2020,0.0,0.0
06/04/2020,1.0,0.0
06/05/2020,2.0,0.0
06/06/2020,3.0,0.0
06/07/2020,0.0,0.0
06/08/2020,0.0,0.0
06/09/2020,0.0,0.0
06/10/2020,0.0,0.0
06/11/2020,0.0,0.0
06/12/2020,0.0,0.0
06/13/2020,2.0,0.0
06/14/2020,1.0,0.0
06/15/2020,2.0,0.0
06/16/2020,0.0,0.0
06/17/2020,0.0,0.0
06/18/2020,0.0,0.0
06/19/2020,0.0,0.0
06/20/2020,12.0,0.0
06/21/2020,3.0,0.0
06/22/2020,0.0,0.0
06/23/2020,2.0,0.0
06/24/2020,0.0,0.0
06/25/2020,10.0,0.0
04/15/2020,10.0,0.0
04/17/2020,0.0,0.0
04/19/2020,0.0,0.0
04/21/2020,0.0,0.0
04/23/2020,0.0,0.0
05/26/2020,149.0,0.0
05/27/2020,28.0,0.0
05/28/2020,5.0,0.0
05/29/2020,61.0,0.0
05/30/2020,2.0,0.0
05/31/2020,28.0,0.0
06/01/2020,24.0,0.0
06/02/2020,100.0,0.0
06/03/2020,105.0,0.0
06/04/2020,20.0,0.0
06/05/2020,21.0,0.0
06/06/2020,69.0,0.0
06/07/2020,39.0,0.0
06/08/2020,99.0,0.0
06/09/2020,10.0,1.0
06/10/2020,11.0,0.0
06/11/2020,16.0,0.0
06/12/2020,20.0,2.0
06/13/2020,67.0,0.0
06/14/2020,13.0,0.0
06/15/2020,48.0,0.0
06/16/2020,63.0,0.0
06/17/2020,19.0,0.0
06/18/2020,48.0,1.0
06/19/2020,52.0,0.0
06/20/2020,34.0,0.0
06/21/2020,39.0,0.0
06/22/2020,27.0,0.0
06/23/2020,6.0,0.0
06/24/2020,22.0,2.0
06/25/2020,35.0,1.0
04/15/2020,35.0,1.0
04/18/2020,0.0,1.0
04/20/2020,0.0,1.0
04/23/2020,0.0,1.0
05/26/2020,2.0,1.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
05/30/2020,0.0,0.0
05/31/2020,0.0,0.0
06/01/2020,0.0,0.0
06/02/2020,0.0,0.0
06/03/2020,0.0,0.0
06/04/2020,0.0,0.0
06/05/2020,0.0,0.0
06/06/2020,0.0,0.0
06/07/2020,0.0,0.0
06/08/2020,0.0,0.0
06/09/2020,0.0,0.0
06/10/2020,0.0,0.0
06/11/2020,0.0,0.0
06/12/2020,0.0,0.0
06/13/2020,0.0,0.0
06/14/2020,0.0,0.0
06/15/2020,0.0,0.0
06/16/2020,0.0,0.0
06/17/2020,0.0,0.0
06/18/2020,0.0,0.0
06/19/2020,0.0,0.0
06/20/2020,0.0,0.0
06/21/2020,0.0,0.0
06/22/2020,2.0,0.0
06/23/2020,1.0,0.0
06/24/2020,2.0,0.0
06/25/2020,18.0,0.0
05/26/2020,18.0,0.0
05/27/2020,1.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
05/30/2020,3.0,0.0
05/31/2020,1.0,0.0
06/01/2020,1.0,0.0
06/02/2020,1.0,0.0
06/03/2020,2.0,0.0
06/04/2020,1.0,0.0
06/05/2020,1.0,0.0
06/06/2020,1.0,0.0
06/07/2020,0.0,0.0
06/08/2020,0.0,0.0
06/09/2020,0.0,0.0
06/10/2020,0.0,0.0
06/11/2020,6.0,0.0
06/12/2020,1.0,0.0
06/13/2020,4.0,0.0
06/14/2020,7.0,0.0
06/15/2020,0.0,0.0
06/16/2020,0.0,0.0
06/17/2020,0.0,0.0
06/18/2020,0.0,0.0
06/19/2020,4.0,0.0
06/20/2020,4.0,0.0
06/21/2020,8.0,0.0
06/22/2020,2.0,0.0
06/23/2020,8.0,0.0
06/24/2020,6.0,0.0
06/25/2020,4.0,0.0
05/26/2020,4.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
05/30/2020,0.0,0.0
05/31/2020,0.0,0.0
06/01/2020,0.0,0.0
06/02/2020,0.0,0.0
06/03/2020,0.0,0.0
06/04/2020,0.0,0.0
06/05/2020,0.0,0.0
06/06/2020,1.0,0.0
06/07/2020,0.0,0.0
06/08/2020,1.0,0.0
06/09/2020,6.0,0.0
06/10/2020,0.0,0.0
06/11/2020,1.0,0.0
06/12/2020,0.0,0.0
06/13/2020,0.0,0.0
06/14/2020,0.0,0.0
06/15/2020,4.0,0.0
06/16/2020,4.0,0.0
06/17/2020,0.0,0.0
06/18/2020,1.0,1.0
06/19/2020,6.0,0.0
06/20/2020,0.0,0.0
06/21/2020,0.0,0.0
06/22/2020,1.0,0.0
06/23/2020,4.0,0.0
06/24/2020,11.0,0.0
06/25/2020,0.0,0.0
05/26/2020,0.0,0.0
05/27/2020,1.0,0.0
05/28/2020,1.0,0.0
05/29/2020,1.0,0.0
05/30/2020,6.0,0.0
05/31/2020,7.0,0.0
06/01/2020,15.0,0.0
06/02/2020,4.0,0.0
06/03/2020,13.0,0.0
06/04/2020,15.0,0.0
06/05/2020,13.0,0.0
06/06/2020,3.0,0.0
06/07/2020,1.0,0.0
06/08/2020,0.0,0.0
06/09/2020,0.0,0.0
06/10/2020,0.0,0.0
06/11/2020,1.0,0.0
06/12/2020,1.0,0.0
06/13/2020,2.0,0.0
06/14/2020,5.0,0.0
06/15/2020,2.0,0.0
06/16/2020,2.0,0.0
06/17/2020,3.0,0.0
06/18/2020,7.0,0.0
06/19/2020,3.0,0.0
06/20/2020,4.0,0.0
06/21/2020,5.0,0.0
06/22/2020,1.0,0.0
06/23/2020,1.0,0.0
06/24/2020,2.0,0.0
06/25/2020,9.0,0.0
04/15/2020,9.0,0.0
04/18/2020,0.0,0.0
04/20/2020,0.0,0.0
04/23/2020,0.0,0.0
05/26/2020,53.0,0.0
05/27/2020,0.0,0.0
05/28/2020,1.0,0.0
05/29/2020,1.0,0.0
05/30/2020,2.0,0.0
05/31/2020,0.0,0.0
06/01/2020,0.0,0.0
06/02/2020,1.0,0.0
06/03/2020,1.0,0.0
06/04/2020,1.0,0.0
06/05/2020,0.0,0.0
06/06/2020,0.0,0.0
06/07/2020,0.0,0.0
06/08/2020,1.0,0.0
06/09/2020,1.0,0.0
06/10/2020,2.0,0.0
06/11/2020,3.0,0.0
06/12/2020,9.0,0.0
06/13/2020,1.0,0.0
06/14/2020,1.0,0.0
06/15/2020,1.0,0.0
06/16/2020,2.0,0.0
06/17/2020,1.0,0.0
06/18/2020,2.0,0.0
06/19/2020,6.0,0.0
06/20/2020,22.0,0.0
06/21/2020,18.0,0.0
06/22/2020,1.0,0.0
06/23/2020,21.0,0.0
06/24/2020,7.0,0.0
06/25/2020,22.0,1.0
05/26/2020,22.0,1.0
05/27/2020,5.0,0.0
05/28/2020,1.0,0.0
05/29/2020,62.0,0.0
05/30/2020,41.0,0.0
05/31/2020,42.0,1.0
06/01/2020,8.0,0.0
06/02/2020,8.0,0.0
06/03/2020,35.0,0.0
06/04/2020,88.0,0.0
06/05/2020,1.0,0.0
06/06/2020,1.0,0.0
06/07/2020,1.0,0.0
06/08/2020,3.0,0.0
06/09/2020,4.0,0.0
06/10/2020,4.0,0.0
06/11/2020,4.0,1.0
06/12/2020,4.0,0.0
06/13/2020,5.0,0.0
06/14/2020,2.0,0.0
06/15/2020,18.0,0.0
06/16/2020,6.0,0.0
06/17/2020,1.0,0.0
06/18/2020,4.0,0.0
06/19/2020,7.0,0.0
06/20/2020,8.0,0.0
06/21/2020,2.0,0.0
06/22/2020,1.0,0.0
06/23/2020,2.0,0.0
06/24/2020,9.0,0.0
06/25/2020,0.0,0.0
05/26/2020,0.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,0.0,0.0
05/30/2020,0.0,0.0
05/31/2020,0.0,0.0
06/01/2020,1.0,0.0
06/02/2020,0.0,0.0
06/03/2020,0.0,0.0
06/04/2020,0.0,0.0
06/05/2020,2.0,0.0
06/06/2020,0.0,0.0
06/07/2020,0.0,0.0
06/08/2020,1.0,0.0
06/09/2020,0.0,0.0
06/10/2020,2.0,0.0
06/11/2020,5.0,0.0
06/12/2020,3.0,0.0
06/13/2020,1.0,0.0
06/14/2020,3.0,0.0
06/15/2020,2.0,0.0
06/16/2020,4.0,1.0
06/17/2020,0.0,0.0
06/18/2020,21.0,0.0
06/19/2020,3.0,0.0
06/20/2020,38.0,0.0
06/21/2020,2.0,0.0
06/22/2020,3.0,1.0
06/23/2020,11.0,0.0
06/24/2020,11.0,2.0
06/25/2020,33.0,0.0
05/26/2020,33.0,0.0
05/27/2020,0.0,0.0
05/28/2020,0.0,0.0
05/29/2020,1.0,0.0
05/30/2020,6.0,0.0
05/31/2020,1.0,0.0
06/01/2020,9.0,0.0
06/02/2020,1.0,0.0
06/03/2020,1.0,0.0
06/04/2020,2.0,0.0
06/05/2020,2.0,0.0
06/06/2020,3.0,0.0
06/07/2020,3.0,0.0
06/08/2020,4.0,0.0
06/09/2020,4.0,0.0
06/10/2020,5.0,0.0
06/11/2020,5.0,0.0
06/12/2020,6.0,0.0
06/13/2020,1.0,0.0
06/14/2020,1.0,0.0
06/15/2020,3.0,0.0
06/16/2020,7.0,0.0
06/17/2020,4.0,1.0
06/18/2020,1.0,0.0
06/19/2020,1.0,0.0
06/20/2020,2.0,0.0
06/21/2020,2.0,0.0
06/22/2020,2.0,0.0
06/23/2020,3.0,0.0
06/24/2020,3.0,0.0
06/25/2020,4.0,0.0
04/15/2020,4.0,0.0
04/18/2020,0.0,0.0
04/20/2020,0.0,0.0
04/23/2020,0.0,0.0
05/26/2020,26.0,0.0
05/27/2020,1.0,0.0
05/28/2020,0.0,0.0
05/29/2020,2.0,0.0
05/30/2020,1.0,0.0
05/31/2020,0.0,0.0
06/01/2020,0.0,0.0
06/02/2020,2.0,0.0
06/03/2020,0.0,0.0
06/04/2020,0.0,0.0
06/05/2020,0.0,0.0
06/06/2020,0.0,0.0
06/07/2020,0.0,0.0
06/08/2020,0.0,0.0
06/09/2020,1.0,0.0
06/10/2020,0.0,0.0
06/11/2020,0.0,0.0
06/12/2020,7.0,0.0
06/13/2020,0.0,0.0
06/14/2020,0.0,0.0
06/15/2020,0.0,0.0
06/16/2020,1.0,0.0
06/17/2020,0.0,0.0
06/18/2020,0.0,0.0
06/19/2020,2.0,0.0
06/20/2020,2.0,0.0
06/21/2020,4.0,0.0
06/22/2020,2.0,0.0
06/23/2020,4.0,0.0
06/24/2020,1.0,1.0
06/25/2020,1.0,0.0
05/26/2020,1.0,0.0
05/27/2020,9.0,0.0
05/28/2020,29.0,0.0
05/29/2020,15.0,0.0
05/30/2020,13.0,0.0
05/31/2020,10.0,0.0
06/01/2020,73.0,0.0
06/02/2020,150.0,0.0
06/03/2020,62.0,0.0
06/04/2020,92.0,0.0
06/05/2020,204.0,0.0
06/06/2020,121.0,0.0
06/07/2020,13.0,0.0
06/08/2020,45.0,0.0
06/09/2020,7.0,0.0
06/10/2020,7.0,0.0
06/11/2020,8.0,0.0
06/12/2020,22.0,0.0
06/13/2020,14.0,0.0
06/14/2020,21.0,0.0
06/15/2020,2.0,0.0
06/16/2020,7.0,0.0
06/17/2020,4.0,0.0
06/18/2020,5.0,0.0
06/19/2020,6.0,0.0
06/20/2020,13.0,1.0
06/21/2020,7.0,0.0
06/22/2020,7.0,0.0
06/23/2020,11.0,0.0
06/24/2020,14.0,0.0
06/25/2020,14.0,0.0
04/15/2020,14.0,0.0
04/18/2020,0.0,0.0
04/20/2020,0.0,0.0
04/23/2020,0.0,0.0
05/26/2020,62.0,0.0
05/27/2020,6.0,0.0
05/28/2020,0.0,0.0
05/29/2020,1.0,0.0
05/30/2020,1.0,0.0
05/31/2020,5.0,0.0
06/01/2020,0.0,0.0
06/02/2020,0.0,0.0
06/03/2020,0.0,0.0
06/04/2020,1.0,0.0
06/05/2020,7.0,0.0
06/06/2020,2.0,0.0
06/07/2020,2.0,0.0
06/08/2020,0.0,0.0
06/09/2020,1.0,0.0
06/10/2020,1.0,0.0
06/11/2020,1.0,0.0
06/12/2020,4.0,0.0
06/13/2020,5.0,0.0
06/14/2020,6.0,0.0
06/15/2020,3.0,0.0
06/16/2020,3.0,0.0
06/17/2020,3.0,0.0
06/18/2020,2.0,0.0
06/19/2020,1.0,0.0
06/20/2020,4.0,0.0
06/21/2020,8.0,0.0
06/22/2020,6.0,0.0
06/23/2020,3.0,0.0
06/24/2020,9.0,0.0
06/25/2020,11.0,0.0
05/26/2020,11.0,0.0
05/27/2020,3.0,1.0
05/28/2020,2.0,0.0
05/29/2020,4.0,0.0
05/30/2020,11.0,0.0
05/31/2020,26.0,0.0
06/01/2020,1.0,0.0
06/02/2020,4.0,0.0
06/03/2020,6.0,0.0
06/04/2020,1.0,0.0
06/05/2020,53.0,0.0
06/06/2020,6.0,1.0
06/07/2020,9.0,0.0
06/08/2020,1.0,0.0
06/09/2020,1.0,0.0
06/10/2020,13.0,0.0
06/11/2020,4.0,0.0
06/12/2020,1.0,0.0
06/13/2020,6.0,0.0
06/14/2020,1.0,0.0
06/15/2020,3.0,0.0
06/16/2020,4.0,0.0
06/17/2020,1.0,0.0
06/18/2020,1.0,1.0
06/19/2020,4.0,1.0
06/20/2020,5.0,-1.0
06/21/2020,39.0,0.0
06/22/2020,15.0,0.0
06/23/2020,16.0,0.0
06/24/2020,4.0,0.0
06/25/2020,10.0,0.0
05/26/2020,10.0,0.0
05/27/2020,16.0,1.0
05/28/2020,7.0,0.0
05/29/2020,60.0,0.0
05/30/2020,18.0,0.0
05/31/2020,44.0,0.0
06/01/2020,2.0,0.0
06/02/2020,3.0,0.0
06/03/2020,9.0,0.0
06/04/2020,1.0,0.0
06/05/2020,74.0,0.0
06/06/2020,103.0,0.0
06/07/2020,39.0,0.0
06/08/2020,66.0,0.0
06/09/2020,61.0,0.0
06/10/2020,27.0,0.0
06/11/2020,66.0,0.0
06/12/2020,26.0,0.0
06/13/2020,26.0,0.0
06/14/2020,22.0,0.0
06/15/2020,13.0,0.0
06/16/2020,6.0,0.0
06/17/2020,37.0,0.0
06/18/2020,8.0,0.0
06/19/2020,4.0,0.0
06/20/2020,1.0,0.0
06/21/2020,2.0,0.0
06/22/2020,1.0,0.0
06/23/2020,13.0,0.0
06/24/2020,13.0,0.0
06/25/2020,2.0,0.0
03/20/2020,2.0,0.0
03/21/2020,12.0,0.0
03/23/2020,27.0,0.0
03/24/2020,28.0,0.0
03/25/2020,14.0,0.0
03/26/2020,9.0,0.0
03/27/2020,19.0,0.0
03/28/2020,39.0,0.0
03/29/2020,6.0,1.0
04/08/2020,163.0,1.0
04/09/2020,6.0,0.0
04/10/2020,6.0,0.0
04/11/2020,7.0,0.0
04/12/2020,6.0,0.0
04/13/2020,6.0,1.0
04/14/2020,3.0,0.0
04/15/2020,8.0,0.0
04/16/2020,1.0,0.0
04/17/2020,7.0,0.0
04/18/2020,1.0,0.0
04/19/2020,4.0,0.0
04/20/2020,2.0,0.0
04/21/2020,6.0,0.0
04/22/2020,19.0,0.0
04/23/2020,10.0,0.0
04/24/2020,11.0,0.0
04/25/2020,3.0,1.0
04/26/2020,7.0,0.0
04/27/2020,11.0,0.0
04/28/2020,13.0,0.0
04/29/2020,4.0,0.0
04/30/2020,10.0,0.0
05/01/2020,1.0,0.0
05/02/2020,1.0,0.0
05/03/2020,2.0,0.0
05/04/2020,0.0,0.0
05/05/2020,1.0,0.0
05/06/2020,1.0,0.0
05/07/2020,1.0,0.0
05/08/2020,0.0,0.0
05/09/2020,1.0,0.0
05/10/2020,1.0,0.0
05/11/2020,7.0,0.0
05/12/2020,7.0,0.0
05/13/2020,5.0,0.0
05/14/2020,10.0,0.0
05/15/2020,26.0,0.0
05/16/2020,16.0,0.0
05/17/2020,11.0,0.0
05/18/2020,14.0,0.0
05/19/2020,29.0,0.0
05/20/2020,12.0,0.0
05/21/2020,24.0,0.0
05/22/2020,24.0,0.0
05/23/2020,42.0,0.0
05/24/2020,63.0,0.0
05/25/2020,52.0,0.0
05/26/2020,49.0,1.0
05/27/2020,67.0,1.0
05/28/2020,41.0,1.0
05/29/2020,84.0,0.0
05/30/2020,0.0,1.0
05/31/2020,0.0,1.0
06/01/2020,1.0,0.0
